site_no,site_name,timestamp_utc,flow_cfs
03473000,"S F HOLSTON RIVER NEAR DAMASCUS, VA",2025-11-03 12:45:00+00:00,121.0
03473000,"S F HOLSTON RIVER NEAR DAMASCUS, VA",2025-11-03 13:00:00+00:00,121.0
03473000,"S F HOLSTON RIVER NEAR DAMASCUS, VA",2025-11-03 13:15:00+00:00,121.0
03473000,"S F HOLSTON RIVER NEAR DAMASCUS, VA",2025-11-03 13:30:00+00:00,121.0
03473000,"S F HOLSTON RIVER NEAR DAMASCUS, VA",2025-11-03 13:45:00+00:00,121.0
03473000,"S F HOLSTON RIVER NEAR DAMASCUS, VA",2025-11-03 14:00:00+00:00,121.0
03473000,"S F HOLSTON RIVER NEAR DAMASCUS, VA",2025-11-03 14:15:00+00:00,121.0
03473000,"S F HOLSTON RIVER NEAR DAMASCUS, VA",2025-11-03 14:30:00+00:00,121.0
03473000,"S F HOLSTON RIVER NEAR DAMASCUS, VA",2025-11-03 14:45:00+00:00,121.0
03473000,"S F HOLSTON RIVER NEAR DAMASCUS, VA",2025-11-03 15:00:00+00:00,121.0
03473000,"S F HOLSTON RIVER NEAR DAMASCUS, VA",2025-11-03 15:15:00+00:00,121.0
03473000,"S F HOLSTON RIVER NEAR DAMASCUS, VA",2025-11-03 15:30:00+00:00,121.0
03473000,"S F HOLSTON RIVER NEAR DAMASCUS, VA",2025-11-03 15:45:00+00:00,121.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-02 22:50:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-02 22:55:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-02 23:00:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-02 23:05:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-02 23:10:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-02 23:15:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-02 23:20:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-02 23:25:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-02 23:30:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-02 23:35:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-02 23:40:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-02 23:45:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-02 23:50:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-02 23:55:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 00:00:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 00:05:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 00:10:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 00:15:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 00:20:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 00:25:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 00:30:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 00:35:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 00:40:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 00:45:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 00:50:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 00:55:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 01:00:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 01:05:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 01:10:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 01:15:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 01:20:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 01:25:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 01:30:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 01:35:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 01:40:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 01:45:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 01:50:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 01:55:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 02:00:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 02:05:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 02:10:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 02:15:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 02:20:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 02:25:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 02:30:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 02:35:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 02:40:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 02:45:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 02:50:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 02:55:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 03:00:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 03:05:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 03:10:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 03:15:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 03:20:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 03:25:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 03:30:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 03:35:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 03:40:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 03:45:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 03:50:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 03:55:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 04:00:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 04:05:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 04:10:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 04:15:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 04:20:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 04:25:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 04:30:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 04:35:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 04:40:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 04:45:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 04:50:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 04:55:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 05:00:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 05:05:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 05:10:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 05:15:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 05:20:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 05:25:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 05:30:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 05:35:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 05:40:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 05:45:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 05:50:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 05:55:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 06:00:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 06:05:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 06:10:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 06:15:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 06:20:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 06:25:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 06:30:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 06:35:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 06:40:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 06:45:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 06:50:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 06:55:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 07:00:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 07:05:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 07:10:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 07:15:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 07:20:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 07:25:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 07:30:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 07:35:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 07:40:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 07:45:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 07:50:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 07:55:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 08:00:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 08:05:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 08:10:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 08:15:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 08:20:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 08:25:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 08:30:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 08:35:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 08:40:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 08:45:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 08:50:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 08:55:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 09:00:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 09:05:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 09:10:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 09:15:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 09:20:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 09:25:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 09:30:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 09:35:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 09:40:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 09:45:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 09:50:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 09:55:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 10:00:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 10:05:00+00:00,42.0
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 10:10:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 10:15:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 10:20:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 10:25:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 10:30:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 10:35:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 10:40:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 10:45:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 10:50:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 10:55:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 11:00:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 11:05:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 11:10:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 11:15:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 11:20:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 11:25:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 11:30:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 11:35:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 11:40:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 11:45:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 11:50:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 11:55:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 12:00:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 12:05:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 12:10:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 12:15:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 12:20:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 12:25:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 12:30:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 12:35:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 12:40:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 12:45:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 12:50:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 12:55:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 13:00:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 13:05:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 13:10:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 13:15:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 13:20:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 13:25:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 13:30:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 13:35:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 13:40:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 13:45:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 13:50:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 13:55:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 14:00:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 14:05:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 14:10:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 14:15:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 14:20:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 14:25:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 14:30:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 14:35:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 14:40:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 14:45:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 14:50:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 14:55:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 15:00:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 15:05:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 15:10:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 15:15:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 15:20:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 15:25:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 15:30:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 15:35:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 15:40:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 15:45:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 15:50:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 15:55:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 16:00:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 16:05:00+00:00,40.7
03474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",2025-11-03 16:10:00+00:00,40.7
03475000,"M F HOLSTON RIVER NEAR MEADOWVIEW, VA",2025-11-02 22:59:00+00:00,73.2
03475000,"M F HOLSTON RIVER NEAR MEADOWVIEW, VA",2025-11-02 23:14:00+00:00,73.2
03475000,"M F HOLSTON RIVER NEAR MEADOWVIEW, VA",2025-11-02 23:29:00+00:00,73.2
03475000,"M F HOLSTON RIVER NEAR MEADOWVIEW, VA",2025-11-02 23:44:00+00:00,73.2
03475000,"M F HOLSTON RIVER NEAR MEADOWVIEW, VA",2025-11-02 23:59:00+00:00,73.2
03475000,"M F HOLSTON RIVER NEAR MEADOWVIEW, VA",2025-11-03 00:14:00+00:00,73.2
03475000,"M F HOLSTON RIVER NEAR MEADOWVIEW, VA",2025-11-03 00:29:00+00:00,73.2
03475000,"M F HOLSTON RIVER NEAR MEADOWVIEW, VA",2025-11-03 00:44:00+00:00,73.2
03475000,"M F HOLSTON RIVER NEAR MEADOWVIEW, VA",2025-11-03 00:59:00+00:00,73.2
03475000,"M F HOLSTON RIVER NEAR MEADOWVIEW, VA",2025-11-03 01:14:00+00:00,73.2
03475000,"M F HOLSTON RIVER NEAR MEADOWVIEW, VA",2025-11-03 01:29:00+00:00,73.2
03475000,"M F HOLSTON RIVER NEAR MEADOWVIEW, VA",2025-11-03 01:44:00+00:00,73.2
03475000,"M F HOLSTON RIVER NEAR MEADOWVIEW, VA",2025-11-03 01:59:00+00:00,73.2
03475000,"M F HOLSTON RIVER NEAR MEADOWVIEW, VA",2025-11-03 02:14:00+00:00,73.2
03475000,"M F HOLSTON RIVER NEAR MEADOWVIEW, VA",2025-11-03 02:29:00+00:00,73.2
03475000,"M F HOLSTON RIVER NEAR MEADOWVIEW, VA",2025-11-03 02:44:00+00:00,73.2
03475000,"M F HOLSTON RIVER NEAR MEADOWVIEW, VA",2025-11-03 02:59:00+00:00,73.2
03475000,"M F HOLSTON RIVER NEAR MEADOWVIEW, VA",2025-11-03 03:14:00+00:00,73.2
03475000,"M F HOLSTON RIVER NEAR MEADOWVIEW, VA",2025-11-03 03:29:00+00:00,73.2
03475000,"M F HOLSTON RIVER NEAR MEADOWVIEW, VA",2025-11-03 03:44:00+00:00,73.2
03475000,"M F HOLSTON RIVER NEAR MEADOWVIEW, VA",2025-11-03 03:59:00+00:00,73.2
03475000,"M F HOLSTON RIVER NEAR MEADOWVIEW, VA",2025-11-03 04:14:00+00:00,73.2
03475000,"M F HOLSTON RIVER NEAR MEADOWVIEW, VA",2025-11-03 04:29:00+00:00,73.2
03475000,"M F HOLSTON RIVER NEAR MEADOWVIEW, VA",2025-11-03 04:44:00+00:00,73.2
03475000,"M F HOLSTON RIVER NEAR MEADOWVIEW, VA",2025-11-03 04:59:00+00:00,73.2
03475000,"M F HOLSTON RIVER NEAR MEADOWVIEW, VA",2025-11-03 05:14:00+00:00,73.2
03475000,"M F HOLSTON RIVER NEAR MEADOWVIEW, VA",2025-11-03 05:29:00+00:00,73.2
03475000,"M F HOLSTON RIVER NEAR MEADOWVIEW, VA",2025-11-03 05:44:00+00:00,73.2
03475000,"M F HOLSTON RIVER NEAR MEADOWVIEW, VA",2025-11-03 05:59:00+00:00,73.2
03475000,"M F HOLSTON RIVER NEAR MEADOWVIEW, VA",2025-11-03 06:14:00+00:00,73.2
03475000,"M F HOLSTON RIVER NEAR MEADOWVIEW, VA",2025-11-03 06:29:00+00:00,73.2
03475000,"M F HOLSTON RIVER NEAR MEADOWVIEW, VA",2025-11-03 06:44:00+00:00,73.2
